Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
3V3LED1,BLUE_LED,R_0402_1005Metric,122.4758,-85.5608,-90.0,top
ANT_SMA1,SMA,SMA_Molex_73251-1153_EdgeMount_Horizontal,145.8144,-132.5159,90.0,top
ANT_UFL1,u.FL,U.FL_Hirose_U.FL-R-SMT-1_Vertical,138.266,-123.4322,180.0,top
BOOTJUMPER1,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,129.9942,-97.8544,0.0,top
C1,10uF,C_0402_1005Metric,137.8682,-102.7566,0.0,top
C10,0.1uF,C_0402_1005Metric,137.7666,-91.5324,90.0,top
C11,0.1uF,C_0402_1005Metric,148.1298,-96.432,0.0,top
C12,22uF,C_0603_1608Metric,141.983,-76.8864,-90.0,top
C13,11pF,C_0402_1005Metric,134.649,-94.66,0.0,top
C14,11pF,C_0402_1005Metric,134.629,-98.56,180.0,top
C15,100nF,C_0402_1005Metric,124.739,-86.0942,180.0,top
C16,10uF,C_0402_1005Metric,126.6134,-86.0942,0.0,top
C17,47nF,C_0402_1005Metric,125.8286,-96.1552,-90.0,top
C18,10uF,C_0402_1005Metric,143.4054,-77.0798,-90.0,top
C19,4.7uF,C_0402_1005Metric,143.4308,-74.687,90.0,top
C2,1uF,C_0402_1005Metric,132.1786,-91.4216,90.0,top
C20,10uF,C_0402_1005Metric,127.9902,-79.9462,180.0,top
C21,10uF,C_0603_1608Metric,130.768056,-79.301823,0.0,top
C22,1uF,C_0402_1005Metric,127.9902,-79.0262,180.0,top
C23,22uF,C_0603_1608Metric,130.5802,-74.2312,0.0,top
C24,10uF,C_0402_1005Metric,139.179,-73.813,0.0,top
C25,4.7uF,C_0402_1005Metric,136.970377,-73.777186,180.0,top
C26,10uF,C_0402_1005Metric,136.179492,-82.149186,0.0,top
C27,0.1uF,C_0402_1005Metric,135.3764,-83.1986,0.0,top
C3,0.1uF,C_0402_1005Metric,121.945,-94.2984,180.0,top
C4,1uF,C_0402_1005Metric,135.986,-102.7566,180.0,top
C5,0.1uF,C_0402_1005Metric,136.0114,-101.7406,180.0,top
C50,15pF,C_0402_1005Metric,151.860011,-110.837789,-135.0,top
C51,15pF,C_0402_1005Metric,151.960011,-108.066611,135.0,top
C52,10nF,C_0402_1005Metric,150.5896,-113.2032,-90.0,top
C53,10nF,C_0402_1005Metric,149.2706,-112.5072,-90.0,top
C54,0.1uF,C_0402_1005Metric,145.9668,-106.396,90.0,top
C57,470nF,C_0402_1005Metric,144.9508,-106.904,90.0,top
C58,0.1uF,C_0402_1005Metric,140.9402,-109.4414,180.0,top
C6,0.1uF,C_0402_1005Metric,138.8868,-100.75,0.0,top
C61,100nF,C_0402_1005Metric,149.541599,-126.641201,0.0,top
C62,10uF,C_0402_1005Metric,151.9398,-77.8112,90.0,top
C64,0.1uF,C_0402_1005Metric,152.9304,-75.9316,-90.0,top
C65,1nF,C_0402_1005Metric,148.681599,-125.641201,0.0,top
C66,1nF,C_0402_1005Metric,149.441599,-121.541201,0.0,top
C68,100nF,C_0402_1005Metric,150.441599,-120.541201,0.0,top
C7,1uF,C_0402_1005Metric,136.9564,-100.6484,180.0,top
C70,1nF,C_0402_1005Metric,148.961599,-124.121201,-90.0,top
C71,4.7uF,C_0603_1608Metric,151.936599,-119.241201,0.0,top
C73,100nF,C_0402_1005Metric,149.961599,-124.121201,-90.0,top
C74,4.7uF,C_0603_1608Metric,152.036599,-123.841201,0.0,top
C77,0.4 pF,C_0402_1005Metric,145.8464,-113.9326,180.0,top
C78,1.2 pF,C_0402_1005Metric,145.8464,-116.8282,180.0,top
C79,0.5 pF,C_0402_1005Metric,147.3424,-118.3014,90.0,top
C8,0.1uF,C_0402_1005Metric,130.4742,-94.2476,0.0,top
C80,1.2 pF,C_0402_1005Metric,145.8438,-119.7746,180.0,top
C9,10nF,C_0402_1005Metric,137.327433,-99.575099,180.0,top
CRXLED1,ORANGE_LED,R_0402_1005Metric,121.4598,-85.5588,-90.0,top
CTXLED1,GREEN_LED,R_0402_1005Metric,129.1814,-88.3548,-90.0,top
D1,SM712_SOT23,SOT-23,125.8286,-99.0736,90.0,top
D2,SP0503BAHT,SOT-143,151.4504,-84.861,0.0,top
DIO3_D1,BLUE_LED,R_0402_1005Metric,146.174,-103.795293,-90.0,top
ENJUMPER1,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,121.6122,-97.9052,0.0,top
F1,Fuse,Fuse_0603_1608Metric,150.395,-88.3375,-90.0,top
FB_P1,FerriteBead_Small,L_0603_1608Metric,134.7694,-85.0528,180.0,top
